Anime,Season,Anime Type,Episodes,Genres,Description,Characters,Recommendations
Fairy Gone Part 2,Musim gugur 2019,TV,12,"Aksi, Militer",Second season of Fairy Gone.,"Noel, Marlya; Underbar, Free; Thorne, Veronica; Row, Wolfran; Aular, Nein; Kysenaria, Klara; Risker, Bivi; Tova, Serge; Laboo, Axel; Sweet, Bitter","Muhyo to Rouji no Mahouritsu Soudan Jimusho 2nd Season, Shokugeki no Souma: Shin no Sara, Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen, Black Fox, Toaru Kagaku no Accelerator, Ahiru no Sora, Hataage! Kemono Michi, Mugen no Juunin: Immortal, Bungou Stray Dogs 3rd Season, Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu., Bungou to Alchemist: Shinpan no Haguruma, Africa no Salaryman (TV), Stand My Heroes: Piece of Truth, Maou-sama, Retry!, Nanatsu no Taizai: Kamigami no Gekirin, Bem"
Chuubyou Gekihatsu Boy,Musim gugur 2019,TV,11,"Komedi, Sekolah","When Mizuki Hijiri transferred to a new school, all she wanted was to live a normal school life, but that did not prove to be the case when she met the infamous Hero Club. All of its members are boys suffering from various types of chuunibyou—Yamato Noda is a righteous hero, using his athletic abilities to perform noble deeds and protect others; Kazuhiro Nakamura claims to be the reincarnation of ""Touga Ryushouin,"" the result of the forbidden union between a demon and an angel; Tomoki Takashima is a pretty-boy otaku whose one true love is the 2D anime girl Sora; and Rei Tsukumo plays the role of a schemer, covertly pulling the strings.

Dragged along as the newest member of the Hero Club, tepid Hijiri can't obtain the normalcy that she desires. But even so, despite their various quirks, their bonds of friendship are real; Hijiri's life can only get more exciting when she joins in on their delusions of grandeur!

[Written by MAL Rewrite]","Tsukumo, Rei; Noda, Yamato; Nakamura, Kazuhiro; Takashima, Tomoki; Mikuriya, Futaba; Hijiri, Mizuki; Faust; Ossan; Watase, Nanako; Vice President","Boku no Tonari ni Ankoku Hakaishin ga Imasu., Ore wo Suki nano wa Omae dake ka yo, Chuunibyou demo Koi ga Shitai!, Saiki Kusuo no Ψ-nan, Ouran Koukou Host Club, D-Frag!, Danshi Koukousei no Nichijou, SKET Dance, Hatsukoi Monster, Bishounen Tanteidan, Fairy Gone Part 2, Urashimasakatasen no Nichijou, Try Knights, Babylon, Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?, Dumbbell Nan Kilo Moteru?"
Kandagawa Jet Girls,Musim gugur 2019,TV,12,"Ecchi, Balapan","On the vivid and glistening waters of the Kanda River, Jetters and their respective Shooters race together on their jet skis, speeding through the wind as they participate in Jet Races—""the world's most intense aquatic sport!""

Chasing her dream of becoming a professional Jet Racer like her mother, Rin Namiki transfers to Asakusa Girls' High School in Tokyo. There, she stumbles upon Misa Aoi, a first-year student like her. However, tensions arise when Rin and Misa find themselves competing in a race against Team Dress from the prestigious Musashino Girls' High School.

As a result of the race, Rin tries to join her school's Jet Racing club, only to discover that there is none. But, her resolve is unshaken, and she decides to recruit Misa and three other girls to create her very own team: ""Kandagawa Jet Girls."" With her heart set on winning the annual Kandagawa Cup, Rin, alongside her team, approaches the grandest stage of them all.

[Written by MAL Rewrite]","Aoi, Misa; Namiki, Rin; Midorikawa, Yuzu; Shiraishi, Manatsu; Orange, Emily; Misuda, Inori; Rin's Father; Aoi, Risa; Narrator; Namiki, Ran","Keijo!!!!!!!!, Harukana Receive, Two Car, Tamayomi, Uma Musume: Pretty Derby, Circlet Princess, Ao no Kanata no Four Rhythm, Joshikousei no Mudazukai, Black Fox, Kimi dake ni Motetainda., Fairy Gone Part 2, Lapis Re:LiGHTs, Hachigatsu no Cinderella Nine, Katsute Kami Datta Kemono-tachi e, Houkago Saikoro Club, Radiant 2nd Season"
Rifle Is Beautiful,Musim gugur 2019,TV,12,"Komedi, CGDCT","Rifle-shooting sports are competitive activities testing accuracy and precision using a rifle. In Japan, carrying firearms is prohibited, so most of the participants are members of the defense force. When the use of rifles using a light beam instead of real bullets as ammunition became common, rifle-shooting competitions became accessible to the younger population, giving way to school contests.

First-year high school student and marksmanship enthusiast Hikari Kokura has just transferred to Chidori High School. She tries to join the club of her choice, but finds out that the club no longer exists due to the low popularity of the sport. Distraught, she tries to restore the club and somehow manages to recruit three other members: her childhood friend Izumi Shibusawa, the half-Russian Erika Meinohama, and the stoic Yukio Igarashi.

This marks the beginning of the Chidori Rifle-Shooting Club, who have only one goal—to compete on the national stage!

[Written by MAL Rewrite]","Igarashi, Yukio; Kokura, Hikari; Meinohama, Erika; Shibusawa, Izumi; Nitta, Serena; Kogomori, Maho; Nakagawa, Tae; Hachiko, Ruri; Kaijima, Sayu; Touma, Ako","Tamayomi, Upotte!!, Koisuru Asteroid, Sabage-bu!, Stella Jogakuin Koutou-ka C³-bu, Circlet Princess, Majutsushi Orphen Hagure Tabi, Tonari no Kyuuketsuki-san, Infinite Dendrogram, Africa no Salaryman (TV), Pastel Memories, Somali to Mori no Kamisama, Sounan Desu ka?, Keishichou Tokumubu Tokushu Kyouakuhan Taisakushitsu Dainanaka: Tokunana, Aikatsu on Parade!, Arifureta Shokugyou de Sekai Saikyou"
Ani ni Tsukeru Kusuri wa Nai! 3,Musim gugur 2019,TV,12,"Komedi, Sekolah","Shi Miao is still stuck with her irresponsible elder brother Shi Fen, who lives in neverending fear of his younger sister's stormy temper. As the siblings continue enjoying their carefree high school days alongside their friends and classmates, they realize that there truly is no cure for family.

[Written by MAL Rewrite]","Shi, Fen; Shi, Miao; Kai, Xin; Wan, Sui; Le, You; Miaomiao; Butler; Wan, Xing; English Teacher","Saiki Kusuo no Ψ-nan: Ψ-shidou-hen, Sora no Aosa wo Shiru Hito yo, Hoshiai no Sora, High Score Girl II, Asobi Asobase, Assassins Pride, Dumbbell Nan Kilo Moteru?, Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!, Heya Camp△, Kono Oto Tomare! Part 2, Ani ni Tsukeru Kusuri wa Nai! 4, Sarazanmai, Eizouken ni wa Te wo Dasu na!, Rifle Is Beautiful, Natsunagu!, Joshikousei no Mudazukai"
Africa no Salaryman (TV),Musim gugur 2019,TV,12,"Komedi, Antropomorfik","Africa no Salaryman is a slapstick workplace comedy that follows the adventures of kind Lion, jaded Lizard, and perverted Toucan, as they trudge through office life while also becoming caught up in antics no regular office worker should. 

Of course, most of these are the fault of Toucan, whose selfish actions and lack of filter still haven't gotten him fired. It's up to Lizard and Lion to keep themselves out of trouble and hang on to their jobs at the office. But trouble is never too far away from these savannah-treading folk.

[Written by MAL Rewrite]",Toucan; Lion; Lizard; Deadly Hamster; Shishimura; Gorimi; President Turtle; Caracal; Jackami; Bunzo,"Odd Taxi, Business Fish, Beastars, Back Street Girls: Gokudolls, Danshi Koukousei no Nichijou, Saiki Kusuo no Ψ-nan: Ψ-shidou-hen, Gaikotsu Shotenin Honda-san, Saiki Kusuo no Ψ-nan, Kenpuu Denki Berserk, Aggressive Retsuko, Aggressive Retsuko (ONA), Shirokuma Cafe, Kandagawa Jet Girls, Chuubyou Gekihatsu Boy, No Guns Life, Kono Oto Tomare! Part 2"
Stand My Heroes: Piece of Truth,Musim gugur 2019,TV,12,"Misteri, Reverse Harem","Drugs have become the center of conflict in Japan, and crime involving them has been increasing at an alarming rate. Unable to control the chaos, the police department settled on creating a unit—STAND—that would include unique, specialized experts and professionals better suited to handle the pressing issue. 

Rei Izumi is a novice joining the narcotics investigation unit, assigned the daunting task of recruiting the potential representatives of STAND. While recommended for her moral sense of justice and devotion to police work, Rei also has a unique aspect of her own that may have earned her the job—she has an immunity to many, if not most, kinds of drugs. 

Eager to seek the possible members of STAND, Rei quickly learns that scouting the different individuals will be more difficult than she expected, as each candidate harbors their own feelings, ideologies, and willingness toward joining the team and regulating drugs as a whole. Her capability as a narcotics officer is also questioned by the many colorful personalities she meets, stirring conflict and unpredictability in Rei's daily life. However, persuading the various contenders for STAND isn't the only obstacle she faces, as becoming involved in the treacherous underworld of drugs, overflowing with deceit and secrecy, will be more hazardous than she ever imagined.

[Written by MAL Rewrite]","Aoyama, Itsuki; Seki, Daisuke; Natsume, Haru; Yui, Koutarou; Watabe, Satoru; Imaooji, Shun; Izumi, Rei; Miyase, Gou; Hattori, You; Kirishima, Kouya","Koi to Producer: EVOL×LOVE, Hakata Tonkotsu Ramens, Hoshiai no Sora, Null Peta, Dakaretai Otoko 1-i ni Odosarete Imasu., number24, Ani ni Tsukeru Kusuri wa Nai! 3, Rifle Is Beautiful, Kabukichou Sherlock, Kakuriyo no Yadomeshi, Uta no☆Prince-sama♪ Movie: Maji Love Kingdom, Kenka Banchou Otome: Girl Beats Boys, Tenka Touitsu Koi no Ran: Shutsujin! Saika 4-nin Shuu, Given, W'z, Africa no Salaryman (TV)"
Phantasy Star Online 2: Episode Oracle,Musim gugur 2019,TV,25,"Aksi, Ruang","A TV anime adaptation of episode 1-3 out of 5 the total episodes from the Phantasy Star Online 2 game. Some anime-original content will be created as well.

Episode 1: During their qualification exam in planet Naberius, the player and fellow ARKS trainee Afin were attacked by vile organisms known as Darkers. This is followed by the two discovering a mysterious girl who lost most of her memories, and the truth regarding Naberius and the recent spike of Darker activities. 

Episode 2: The plot follows the player and Matoi as they try to unravel a dark conspiracy regarding the origin and purpose of ARKS.

Episode 3: The discovery of the planet Harukotan brought a new quest into the fray, as the peace between the Shironian and Kuronites that dwell in the planet is disturbed by the Kuronites' sudden attack. The newly-reformed ARKS is tasked to investigate the reason behind it all, and it seems like the truth is more complicated and horrifying than expected... 

(Source: phantasystar.fandom.com) ",Matoi; Ash; Afin; Quna; Luther; Io; Xion ; Patty; Lisa; Hadred,"Somali to Mori no Kamisama, Infinite Dendrogram, Azur Lane, Id:Invaded, Tsugu Tsugumomo, Puso Ni Comi: Okawari, Z/X: Code Reunion, Zoids Wild Zero, Katsute Kami Datta Kemono-tachi e, Babylon, Isekai Quartet 2, Hachi-nan tte, Sore wa Nai deshou!, Kimi dake ni Motetainda., Radiant 2nd Season, Isekai Cheat Magician, Shironeko Project: Zero Chronicle"
Actors: Songs Connection,Musim gugur 2019,TV,12,Musik,"Tensho School is located in the 7th Ward of Thrive Central, where emphasis is put on extracurricular activities and all clubs participate in an annual fall singing contest. Having to delay the start of his school year due to his older sister's hospitalization, transfer student Saku Otonomiya finds himself struggling to adapt to his hectic new life. Balancing his part-time job and caring for his sister, he finds it difficult to make time to join a school club.

In preparation for the upcoming singing contest, the school's singing club wishes to use Sousuke Kagura's song ""Cloudy Days,"" but Kagura is reluctant to grant his permission. The song requires someone with a three-octave range to sing it and he believes that only a VOCALOID can meet the standards. He allows for the club to use his song on the condition that they can find someone who possesses that vocal range to properly sing it.

While racking his brain over the composition of his next song, Kagura stumbles upon Otonomiya singing ""Cloudy Days"" perfectly. He invites Otonomiya to form a unit with him for the competition. At the same time, the singing club tries to goad him into joining so they can use Kagura's song. As the contest inches closer, Otonomiya must overcome his uncertainty and decide who to team up with.

[Written by MAL Rewrite]","Outa, Uta; Otonomiya, Saku; Kagura, Sousuke; Akika, Mitsuki; Enjouji, Mike; Saotome, Ryou; Marume, Chiguma; Akizuki, Kai; Mitsutsuka, Hinata; Kadonooji, Satsuma","22/7, Free!, Housekishou Richard-shi no Nazo Kantei, Hypnosis Mic: Division Rap Battle - Rhyme Anima, Rifle Is Beautiful, Soukyuu no Fafner: Dead Aggressor - The Beyond Part 2, Namu Amida Butsu!: Rendai Utena, King of Prism: Shiny Seven Stars, Uchi Tama?! Uchi no Tama Shirimasen ka?, Starmyu 3rd Season: Encore, Ahiru no Sora, Urashimasakatasen no Nichijou, Z/X: Code Reunion, A3! Season Autumn & Winter"
Z/X: Code Reunion,Musim gugur 2019,TV,12,"Fantasi, Sekolah, Shounen","The signing of a peace treaty has secured a tenuous ceasefire between mankind and the Zex, beings who emerged from space/time rifts connected to mysterious, distant worlds. Partnered with a Zex named Rigel, Azumi Kakamigahara must shoulder the fate of her own idyllic world. The unlikely pair head to newly established Fujimisaki Academy, where their destinies await.

(Source: ANN)","Rigel; Kagamihara, Azumi; Shinonome, Matoi; Kijino, Shuri; Tsukigata, Yuni; Soranokawa, Ena","Phantasy Star Online 2: Episode Oracle, 22/7, Egao no Daika, Stand My Heroes: Piece of Truth, Shin Sakura Taisen the Animation, Re:Stage! Dream Days♪, Hataage! Kemono Michi, Rifle Is Beautiful, Tejina-senpai, Senki Zesshou Symphogear XV, Tenka Hyakken: Meiji-kan e Youkoso!, Mukashi Keibanashi, Granblue Fantasy The Animation Season 2, Z/X: Ignition, Show By Rock!! Mashumairesh!!, Bokutachi wa Benkyou ga Dekinai!"
Shin Chuuka Ichiban!,Musim gugur 2019,TV,12,"Komedi, Shounen","After passing the Guangzhou Special Chef Trials, Mao decided to travel around China, to learn more about the unique preparation of food. Upon his return, he will learn that the real battle has only just begun. The Underground Cooking Society has already begun to move... 

(Source: MU)","Mao Xing, Liu; Hong, Lanfei; Zhou, Mei Li; Xi Er; Zhi Lao; Li Wen; Zhou, Yu; Shan; Lee; Luou","Oishinbo, Shokugeki no Souma: Gou no Sara, Shokugeki no Souma, Sword Art Online: Alicization - War of Underworld, Uchi Tama?! Uchi no Tama Shirimasen ka?, Hoshiai no Sora, Human Lost: Ningen Shikkaku, Nakanohito Genome [Jikkyouchuu], Kimi dake ni Motetainda., 22/7, Shin Chuuka Ichiban! 2nd Season, Assassins Pride, Hataage! Kemono Michi, Enen no Shouboutai, Urashimasakatasen no Nichijou, Yatogame-chan Kansatsu Nikki"
Tenka Hyakken: Meiji-kan e Youkoso!,Musim gugur 2019,TV,12,"Aksi, Historis","The Tenka Hyakken franchise centers around the ""Mitsurugi,"" maidens who are physical incarnations of ancient swords. They have pledged to live peaceful lives after the era of warfare, but are now returning to battle to fight a new foe that has arisen during an alternate version of the Meiji Era, three hundred years after the Battle of Sekigahara. 

(Source: ANN)",Jouizumi Masamune; Kuwana Gou; Goou Yoshimitsu; Sukashi Masamune; Houchou Masamune; Horinuki Masamune; Nanaka; Kogarasumaru,"Bokutachi wa Benkyou ga Dekinai!, Z/X: Code Reunion, Kimi dake ni Motetainda., Hatena☆Illusion, Actors: Songs Connection, Boku no Tonari ni Ankoku Hakaishin ga Imasu., Kono Oto Tomare! Part 2, Azur Lane, Rifle Is Beautiful, Hentatsu (TV), Cop Craft, Mukashi Keibanashi, Ani ni Tsukeru Kusuri wa Nai! 3, Pet, Nakanohito Genome [Jikkyouchuu], Assassins Pride"
Urashimasakatasen no Nichijou,Musim gugur 2019,TV,12,"Komedi, Sekolah","The anime centers on the members of the real-world four-member male vocal unit Urashimasakatasen. Uratanuki, Shima, Tonari no Sakata, and Senra appear in the shorts as high school students.

(Source: ANN)",Sakata; Urata; Senra; Shima,"Chuubyou Gekihatsu Boy, Stand My Heroes: Piece of Truth, Argonavis from BanG Dream!, Shiohi Girls: Vongole Bianco, Hakata Mentai! Pirikarako-chan, Kirakira Happy★Hirake! Cocotama, Ore wo Suki nano wa Omae dake ka yo, Z/X: Code Reunion, Null Peta, Ensemble Stars! Picture Drama, Rifle Is Beautiful, Kimi dake ni Motetainda., Ba La La Xiao Mo Xian Zhi: Mofa Hai Ying Bao, Nakanohito Genome [Jikkyouchuu]: Knots of Memories, ARP Backstage Pass, Mayonaka no Occult Koumuin"
Aikatsu on Parade!,Musim gugur 2019,TV,25,"Sepotong Kehidupan, Berhala (Wanita), Shoujo","Raki Kiseki is a second-year middle school student who transfers to Star Harmony Academy to become an idol. However, when she uses an Aikatsu Pass she received from her big sister (an Aikatsu engineer), something mysterious happens. Lots of doors appeared before her, and when she opens them, she meets Aikatsu idols she never knew before, such as Yume Nijino (Aikatsu Stars!). Raki vows to design her own premium dress and perform in it on stage. 

(Source: Anime News Network)","Hoshimiya, Ichigo; Oozora, Akari; Nijino, Yume; Yuuki, Aine; Minato, Mio; Kurebayashi, Juri; Asuka, Mirai; Kiseki, Raki; Tenshou, Hibiki; Arisugawa, Otome","Shin Chuuka Ichiban!, ARP Backstage Pass, Aikatsu! Movie, Duel Masters!!, Shining Star, Go! Princess Precure, Precure Miracle Leap Movie: Minna to no Fushigi na Ichinichi, Mukashi Keibanashi, Michiru Rescue!, , Yes! Precure 5 GoGo!, Road to You, Actors: Songs Connection, Yes! Precure 5, Jewelpet Twinkle☆, Aikatsu Friends!: Kagayaki no Jewel"
Zoids Wild Zero,Musim gugur 2019,TV,50,Aksi,"In the 21st century planet Earth was rendered inhospitable to life, and people mass-migrated to Planet Zi, the natural home of metallic life forms known as Zoids.

Many years later, Zi faces its end. Its inhabitants partake the journey to migrate back to Earth.

Attempting to regenerate the Earth to make it hospitable, the migrants come up with a ""Zi-Forming"" scheme.

However, the plan fails and Earth is left in its state of turmoil. Overrun by Zoids and blanked by unstable weather phenomena, the migrants are faced with a difficult life. The Empire and Republic settlements attempt to uncover Zoids buried within the Earth to bolster their respective armies.

The story picks up following second-generation Earth citizens: Leo Conrad and Buzz Cunningham, who have a chance encounter with a girl Sally Land as she flees the clutches of the Empire.

(Source: Zoids Wiki)",,"Cardfight!! Vanguard Gaiden: If, Nu Wushen de Canzhuo II, Taeko no Nichijou 2nd Season, Yu☆Gi☆Oh!: Sevens, Anoyo no Subete wa, Obake-gumi!, You Yao, Neko no Robu, Mobile Suit Gakuen: Kaette Kita G-Reco Koushien, Majutsushi Orphen Hagure Tabi, Azur Lane, Radiant 2nd Season, Microphone Soul Spinners: Kotodama Shoujo, Kabukichou Sherlock, Get Up! Get Live! #Geragera, Chuldong! Super Wings 3, Marumaru Manul"
Taeko no Nichijou,Musim gugur 2019,TV,26,"Sepotong Kehidupan, Tempat Kerja","A short anime about Taeko Shinbou who is an office worker that is patient with everything and greets everything that comes her way with cheer. An announcement was made that a ""regular person"" from Kantou will voice Taeko rather than an industry professional.

(Source: ANN)",,"Hulaing Babies Petit, Kedama no Gonjirou, Sore dake ga Neck, Breakers, Chou Futsuu Toshi Kashiwa Densetsu R, Fairy Gone Part 2, Ninja Collection, Yodel no Onna, Neko no Robu, Sazae-san, Marumaru Manul, Hatena☆Illusion, Yasamura Yasashi no Yasashii Sekai, Taeko no Nichijou 2nd Season, Super Shiro, Waresho! Warera! Shodobutsu Aigo Iinkai"
Eily wa Ou-sama!,Musim gugur 2019,TV,10,Komedi,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,,"Ensemble Stars! Picture Drama, Aikatsu Friends!: Kagayaki no Jewel, Houkago Saikoro Club, Z/X: Code Reunion, Shiawase Haitatsu Taneko, Ani x Para: Anata no Hero wa Dare desu ka, Healin' Good♡Precure, IDOLiSH7: Second Beat!, Chou Futsuu Toshi Kashiwa Densetsu R, Try Knights, Re:Stage! Dream Days♪, High Score Girl II, Chihayafuru 3, Rifle Is Beautiful, Shin Chuuka Ichiban!, Rebirth"
Mukashi Keibanashi,Musim gugur 2019,TV,4,"Komedi, Parodi",A fairytale and folklore parody anime focused on race horses. They take classic stories (like Momotarou or Cinderella) and put them in  race horse situations with the narrator voicing the action in typical fast-paced sports commentary. The anime is funded and promoted by the Japan Racing Association (JRA).,,"Kabukichou Sherlock, Pet, Babylon, Taeko no Nichijou, Starmyu 3rd Season, Azur Lane, Boku no Tonari ni Ankoku Hakaishin ga Imasu., Ensemble Stars!, Darwin's Game: Log Line, Hataage! Kemono Michi, Fairy Gone Part 2, Stand My Heroes: Piece of Truth, Try Knights, Zoids Wild Zero, A3! Season Spring & Summer, Oyako Club"
Tensei shitara Slime Datta Ken OVA,nan,OVA,5,"Aksi, Isekai","One day, Shuna and Shion are fighting over Rimuru's squishy slime body as usual. Rimuru figures that giving them each a body double of himself would solve the conflict, but when he imagines some of his other friends asking him to do the same for them, he quickly drops that plan. Then he comes up with the idea to make a cushion in the shape of his slime form. He travels around Tempest to see if his friends know of any good materials he can use, and he learns that a special type of sand found along a lake shore in the forest is exactly what he's looking for. So he sets out to collect some sand... but a monster is waiting for him by the lake! What's more, Milim hears about his plan for a picnic and comes racing down from the sky!

(Source: Crunchyroll)","Tempest, Rimuru; Nava, Milim; Diablo; Shuna; Shion; Benimaru; Izawa, Shizue; Ranga; Souei; Gobta","Fairy Tail OVA, Keijo!!!!!!!!, Uchi no Ko no Tame naraba, Ore wa Moshikashitara Maou mo Taoseru kamo Shirenai., Quanzhi Gaoshou 2, Goblin Slayer: Bouken Kiroku Youshi - Adventure Sheet, Tensei shitara Slime Datta Ken Movie: Guren no Kizuna-hen, Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari, Arifureta Shokugyou de Sekai Saikyou Recap, Overlord Movie 1: Fushisha no Ou, Maou-jou de Oyasumi, Peter Grill to Kenja no Jikan, Boku no Hero Academia the Movie 1: Futari no Hero Specials, Kono Subarashii Sekai ni Shukufuku wo! Kono Subarashii Choker ni Shukufuku wo!, Dumbbell Nan Kilo Moteru?, Nanatsu no Taizai Movie 1: Tenkuu no Torawarebito, Tonikaku Kawaii"
Bokutachi wa Benkyou ga Dekinai: Nagisa ni Usemono Arite Senjin wa Enzen to [X] Suru,nan,OVA,1,"Komedi, Harem, Shounen","Bundled with the limited edition volume 14. 

The episode adapts chapters 48 and 49, which follow Yuiga and Asami going on a fake date, and Yuiga encountering his teacher Mafuyu Kirisu after she accidentally loses her swimsuit top.

(Source: MAL News)","Furuhashi, Fumino; Kirisu, Mafuyu; Takemoto, Uruka; Ogata, Rizu; Kominami, Asumi; Yuiga, Nariyuki; Sekijou, Sawako; Yuiga, Mizuki; Amada, Chiyoko; Mikuni","Yahari Ore no Seishun Love Comedy wa Machigatteiru. OVA, Re:Zero kara Hajimeru Isekai Seikatsu - Memory Snow - Manner Movie, Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka OVA, Watashi ni Tenshi ga Maiorita! Special, Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!, Karakai Jouzu no Takagi-san: Water Slide, 5-toubun no Hanayome ∬, Monster Musume no Iru Nichijou OVA, Midara na Ao-chan wa Benkyou ga Dekinai, Karakai Jouzu no Takagi-san 2, Sounan Desu ka?, Kyokou Suiri, Kenja no Mago, To LOVE-Ru: Multiplication - Mae kara Ushiro kara, Senryuu Shoujo, Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai"
Mayonaka no Occult Koumuin: Fukurokouji to Ano Ko to Ore to,nan,OVA,1,"Fantasi, Mitologi, Shoujo","Bundled with the limited edition 12th manga volume.

Miyako Arata is newly assigned to the Shinjuku Ward Nocturnal Community Relations Division. Each of Tokyo's 23 wards has one such department, established to mitigate paranormal and occult-related events. Arata's special skill is the understanding of non-human speech, and the story begins with him encountering a youkai at Shinjuku Imperial Gardens who refers to him as the legendary Heian-era exorcist, Abe no Seimei.

(Source: Mayonaka No Occult Wikia)",,"Bakumatsu: Crisis, Ginga Eiyuu Densetsu: Die Neue These - Seiran 2, Kuroko no Basket: Oshaberi Demo Shimasen ka, Black Fox, Urashimasakatasen no Nichijou, Li Shi, Tenka Hyakken: Meiji-kan e Youkoso!, Tales of the Rays: Everlasting Destiny, Bokura no Nanokakan Sensou, Mayonaka no Occult Koumuin OVA, Fudanshi Koukou Seikatsu: Sports no Aki, Bonnou no Aki, Code Geass: Fukkatsu no Lelouch Picture Drama, Soukyuu no Fafner: Dead Aggressor - The Beyond Part 2, Vatican Kiseki Chousakan: Majo no Soup, Haishin Yuusha, Fairy Gone"
One Punch Man 2nd Season Specials,nan,Special,6,"Aksi, Pemeran Dewasa, Seinen",Short anime specials included in the One Punch Man 2nd Season BD & DVD.,Saitama; Garou; Genos; Mumen Rider; Fubuki; Speed-o'-Sound Sonic; King; Metal Bat; Puripuri Prisoner; Bang,"Mob Psycho Mini, Radiant 2nd Season, Shingeki no Kyojin Movie 2: Jiyuu no Tsubasa, Sword Art Online: Alicization - War of Underworld, One Punch Man 2nd Season, Charlotte: Tsuyoimono-tachi, Hunter x Hunter Movie 2: The Last Mission, Osomatsu-san Movie: Gekijou Koukai Kinen - Original Tanpen Gekijou, Hataraku Saibou: Necchuushou - Moshimo Pocari Sweat ga Attara, Boku no Hero Academia: Sukue! Kyuujo Kunren!, Overlord: Ple Ple Pleiades 2, Psycho-Pass 3, , Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu, Nanatsu no Taizai: Imashime no Fukkatsu Joshou, Sword Art Online Fatal Bullet: The Third Episode - Pilot-ban"
Arifureta Shokugyou de Sekai Saikyou Specials,nan,Special,2,"Aksi, Harem",Unaired episodes included with the Blu-ray releases of Arifureta Shokugyou de Sekai Saikyou.  ,"Nagumo, Hajime; Shirasaki, Kaori; Yue; Haulia, Shia; Clarence, Tio; Myuu","Shinmai Maou no Testament Specials, Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki Desu ka? Namiuchigiwa no Okaasan wa Suki Desu ka?, Kono Yo no Hate de Koi wo Utau Shoujo YU-NO Recap, Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II: Past & Future, Isekai Maou to Shoukan Shoujo no Dorei Majutsu, Shinmai Maou no Testament Departures, Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna, Isekai Quartet 2, Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III, Radiant 2nd Season, Bokutachi wa Benkyou ga Dekinai! Chapel no Kane wa [X] wo Shukufuku Suru, Date A Bullet: Dead or Bullet, Goblin Slayer: Bouken Kiroku Youshi - Adventure Sheet, Watashi, Nouryoku wa Heikinchi de tte Itta yo ne!, Plunderer, One Punch Man 2nd Season Specials"
Nande Koko ni Sensei ga!? Nande Koko ni Sensei-tachi ga!?,nan,Special,1,"Komedi, Sekolah, Seinen",Unaired episode included with the Blu-ray box set.,"Kojima, Kana; Tachibana, Chizuru; Hazakura, Hikari; Matsukaze, Mayu; Satou, Ichirou; Suzuki, Rin; Takahashi, Takashi; Tanaka, Kou","Tenka Hyakken: Meiji-kan e Youkoso!, Boku no Kanojo ga Majimesugiru Sho-bitch na Ken OVA, Ore wo Suki nano wa Omae dake ka yo, Shinmai Maou no Testament Burst Specials, Sword Art Online: Alicization - War of Underworld Reflection, Hajimete no Gal, Maken-Ki! Two Specials, Trinity Seven Movie 2: Heavens Library to Crimson Lord, High School DxD BorN: Ishibumi Ichiei Kanzen Kanshuu! Mousou Bakuyou Kaijo Original Video, Miru Tights: Cosplay Satsuei Tights, Boku no Kanojo ga Majimesugiru Sho-bitch na Ken, Bokutachi wa Benkyou ga Dekinai!, High School DxD BorN: Yomigaeranai Fushichou, Yuragi-sou no Yuuna-san, Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki Desu ka? Namiuchigiwa no Okaasan wa Suki Desu ka?, Assassins Pride"
